miRNA,Coefficient,Absolute_Coefficient
hsa-miR-1,-0.8396417007797383,0.8396417007797383
hsa-miR-92a,-0.8236525752992084,0.8236525752992084
hsa-miR-122,0.7802455836302313,0.7802455836302313
hsa-miR-338-3p,0.7640497253649844,0.7640497253649844
hsa-miR-30e*,0.6384633160482172,0.6384633160482172
hsa-miR-574-3p,-0.4434643754097667,0.4434643754097667
hsa-miR-1972,-0.34885088646960605,0.34885088646960605
hsa-miR-93,-0.325993066458425,0.325993066458425
hsa-miR-629,-0.2565840116964295,0.2565840116964295
hsa-miR-888,0.22620252192050613,0.22620252192050613
hsa-miR-98,0.17146238467779532,0.17146238467779532
hsa-miR-99b,0.15855619440182314,0.15855619440182314
hsa-miR-486-3p,-0.135100687751656,0.135100687751656
hsa-miR-99a,-0.13304985552168722,0.13304985552168722
hsa-miR-92b,-0.12463860062572474,0.12463860062572474
hsa-miR-95,-0.12235000796267533,0.12235000796267533
hsa-miR-93*,0.11679580430387057,0.11679580430387057
hsa-miR-940,-0.11569165929958979,0.11569165929958979
hsa-miR-942,0.05418892929873695,0.05418892929873695
hsa-miR-96,0.03436395217997364,0.03436395217997364
