miRNA,Coefficient,Abs_Coefficient
hsa-miR-133b,-1.711096075528151,1.711096075528151
hsa-miR-338-3p,1.1162684571667403,1.1162684571667403
hsa-miR-144*,-1.0927760987055817,1.0927760987055817
hsa-miR-122,0.9349174402551593,0.9349174402551593
hsa-miR-410,-0.8711488880677051,0.8711488880677051
hsa-miR-574-3p,-0.8539832116121906,0.8539832116121906
hsa-miR-215,0.7568139107438292,0.7568139107438292
hsa-miR-92a,-0.6734646475360346,0.6734646475360346
hsa-miR-128,-0.6455923197552959,0.6455923197552959
hsa-miR-1,-0.626583418052603,0.626583418052603
hsa-miR-374b,0.6139564141268338,0.6139564141268338
hsa-miR-134,-0.6048417460606914,0.6048417460606914
hsa-miR-584,-0.576069872222946,0.576069872222946
hsa-miR-223,0.5512252995007676,0.5512252995007676
hsa-let-7i,-0.4993252159356814,0.4993252159356814
hsa-miR-30e*,0.45524618448758725,0.45524618448758725
hsa-miR-548c-5p,0.452412606458763,0.452412606458763
hsa-miR-142-5p,0.44196575181082853,0.44196575181082853
hsa-miR-664,0.36783139784883156,0.36783139784883156
hsa-miR-20a,-0.30951006319940877,0.30951006319940877
hsa-miR-182,-0.29574794104232216,0.29574794104232216
hsa-miR-140-5p,0.2659848311224966,0.2659848311224966
hsa-miR-10a,-0.26196195922621823,0.26196195922621823
hsa-miR-675*,-0.23168723751942766,0.23168723751942766
hsa-miR-339-5p,0.22100874308131627,0.22100874308131627
hsa-miR-421,-0.1990348321996572,0.1990348321996572
hsa-miR-376b,-0.1770394844906106,0.1770394844906106
hsa-miR-663,-0.12964747869974924,0.12964747869974924
hsa-miR-671-5p,-0.11024197323611014,0.11024197323611014
hsa-miR-320a,-0.10333135095394096,0.10333135095394096
hsa-miR-423-5p,-0.09078571072370782,0.09078571072370782
hsa-miR-296-5p,-0.07123712766456422,0.07123712766456422
hsa-miR-628-3p,-0.0690208704922521,0.0690208704922521
hsa-miR-335,-0.05901100763620554,0.05901100763620554
hsa-let-7f,-0.04332184425529931,0.04332184425529931
hsa-miR-340*,-0.02735664407080028,0.02735664407080028
hsa-miR-1972,-0.01561192536866611,0.01561192536866611
hsa-miR-154,-0.002376385255900742,0.002376385255900742
hsa-miR-133a,-0.001815733709868375,0.001815733709868375
